"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"phi_1[23]",0.950014927628672,0.0422756867102311,0.841524788338892,0.960874747621749,0.998225659031808,1,42307
"phi_1[24]",0.788221260155489,0.0950870183878677,0.603067327106543,0.787171222625357,0.968451037806492,1,16760
"phi_1[25]",0.929736679943853,0.0547637603366704,0.795391632748584,0.94168038159162,0.997353926927791,1,37972
"phi_1[26]",0.499844821013466,0.288820533599338,0.0244393643573858,0.499972227029502,0.974749567452818,1,151717
"phi_2[1]",0.604117766898681,0.185155374992874,0.235499057020172,0.611215118305142,0.932097539507799,1,70957
"phi_2[2]",0.580493927259811,0.160094281942457,0.291690396486869,0.571263518123192,0.916262958270015,1,21335
"phi_2[3]",0.70768749054998,0.152584292355144,0.395759820837434,0.714422749601314,0.971873545946637,1,30386
"phi_2[4]",0.591037702985115,0.165438864593506,0.283432201233895,0.586442286462723,0.922188711739407,1,34266
"phi_2[5]",0.491003120256188,0.191478086030176,0.16122932450892,0.477071576693043,0.891628186658036,1,36710
"phi_2[6]",0.73055891361557,0.159465245834911,0.383420319020251,0.747796206928956,0.978977555605683,1,56452
"phi_2[7]",0.757557730850508,0.135153855772191,0.465880850264803,0.76932046472219,0.977116944980153,1,42140
"phi_2[8]",0.752674797897643,0.131305029497303,0.48111264687813,0.759508318239028,0.97704984017091,1,25313
"phi_2[9]",0.691638268032597,0.21395503926352,0.225258442112409,0.725104073864959,0.986726321014327,1,10584
"phi_2[10]",0.842464808464593,0.132723853857998,0.508561799038182,0.877261635960774,0.995091749103017,1,33192
"phi_2[11]",0.867327226765181,0.114928233569642,0.573028110809017,0.898653682496105,0.995947790025121,1,46984
"phi_2[12]",0.769866433876896,0.119668307072415,0.520971828873586,0.776053085842127,0.975863741365799,1,34662
"phi_2[13]",0.900890876318412,0.0715844563628731,0.729227442943993,0.914567052282145,0.995160525177408,1,44009
"phi_2[14]",0.717993615534859,0.0991225708218866,0.513889928818674,0.721699563522512,0.900401084664612,1,62536
"phi_2[15]",0.709176096088352,0.0973667382270602,0.507431533415063,0.7132044245058,0.887725812897171,1,63236
"phi_2[16]",0.595199671539663,0.109328579536583,0.385352501420153,0.594239887394682,0.812194538266462,1,50937
"phi_2[17]",0.673028015829924,0.110679829556069,0.449420547672429,0.67605468797783,0.879409658124793,1,50682
"phi_2[18]",0.881192471509636,0.0699489642706193,0.721470788928653,0.890310505024791,0.988307818947067,1,42138
"phi_2[19]",0.587907326124158,0.0956594528537316,0.402044178959709,0.587703569199729,0.775646715818769,1,51593
"phi_2[20]",0.846703272768785,0.0937256438858809,0.644495647935291,0.855211586856908,0.991149768797496,1,18609
"phi_2[21]",0.803545255456405,0.100592479517858,0.603978907927762,0.804904049598971,0.982022122942585,1,15766
"phi_2[22]",0.70129633754621,0.108804865326901,0.496263368399299,0.697699987678393,0.925667935791148,1,21672
"phi_2[23]",0.688893898303796,0.106905728922145,0.474557086771682,0.691333171246439,0.89169977057535,1,52925
"phi_2[24]",0.724601035051275,0.133147313107135,0.459136390148174,0.726818367737898,0.968929570337933,1,25120
"phi_2[25]",0.506698285463479,0.139724142289436,0.246660282604102,0.50269923102343,0.788432513990619,1,60544
"phi_2[26]",0.49921768620546,0.288714123777908,0.024653916497482,0.49826520436909,0.97526396549074,1,150000
