"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"phi_oa[4]",0.743,0.106,0.506,0.75,0.941,1.1,50
"phi_oa[5]",0.764,0.115,0.546,0.757,0.991,1.02,34
"phi_oa[6]",0.651,0.106,0.434,0.654,0.844,1.39,35
"phi_oa[7]",0.9,0.062,0.761,0.907,0.993,1.06,61
"phi_oa[8]",0.703,0.11,0.466,0.721,0.888,1.38,41
"phi_oa[9]",0.712,0.14,0.445,0.716,0.947,1.84,34
"phi_oa[10]",0.565,0.111,0.363,0.55,0.782,1.07,35
"phi_oa[11]",0.892,0.08,0.693,0.91,0.995,1.27,81
"phi_oa[12]",0.927,0.061,0.767,0.943,0.996,1.27,69
"phi_oa[13]",0.768,0.124,0.518,0.77,0.979,1.31,32
"phi_oa[14]",0.754,0.115,0.494,0.763,0.952,1.39,49
"phi_oa[15]",0.746,0.122,0.496,0.755,0.954,1.2,42
"phi_oa[16]",0.725,0.119,0.463,0.735,0.925,1.35,60
"phi_oa[17]",0.812,0.122,0.528,0.832,0.991,1.86,57
"phi_oa[18]",0.857,0.092,0.657,0.87,0.99,1.18,85
"phi_oa[19]",0.772,0.127,0.505,0.779,0.984,1.5,61
"phi_oa[20]",0.776,0.124,0.507,0.793,0.978,1.43,61
"phi_oa[21]",0.848,0.096,0.632,0.862,0.988,1.23,92
"phi_oa[22]",0.841,0.096,0.62,0.852,0.992,1.21,77
"phi_oa[23]",0.819,0.109,0.576,0.837,0.976,1.11,68
"phi_oa[24]",0.759,0.103,0.523,0.764,0.94,1.11,85
"phi_oa[25]",0.733,0.108,0.519,0.733,0.931,1.14,66
"phi_oa[26]",0.72,0.132,0.451,0.723,0.96,1,80103
"phi_oa[27]",0.719,0.132,0.45,0.723,0.958,1,81000
"phi_oa[28]",0.719,0.132,0.449,0.724,0.958,1,80309
"phi_oa[29]",0.719,0.131,0.452,0.723,0.958,1,81089
"phi_oa[30]",0.718,0.132,0.449,0.722,0.958,1,81000
"phi_ya[1]",0.811,0.089,0.65,0.804,0.996,3.32,16
"phi_ya[2]",0.868,0.082,0.694,0.879,0.993,1.32,48
"phi_ya[3]",0.874,0.09,0.655,0.89,0.995,1.09,52
"phi_ya[4]",0.886,0.073,0.723,0.896,0.991,1.02,66
"phi_ya[5]",0.895,0.075,0.728,0.906,0.997,1.1,51
"phi_ya[6]",0.894,0.081,0.705,0.915,0.997,1.03,49
"phi_ya[7]",0.915,0.061,0.774,0.926,0.995,1.06,76
"phi_ya[8]",0.919,0.06,0.773,0.932,0.997,1.01,127
"phi_ya[9]",0.837,0.099,0.618,0.847,0.989,1.17,89
"phi_ya[10]",0.898,0.072,0.722,0.909,0.995,1.02,87
"phi_ya[11]",0.88,0.094,0.652,0.904,0.995,1.15,46
"phi_ya[12]",0.908,0.07,0.743,0.925,0.997,1.03,83
"phi_ya[13]",0.87,0.086,0.678,0.882,0.995,1.15,102
"phi_ya[14]",0.89,0.093,0.655,0.914,0.996,1.16,120
"phi_ya[15]",0.865,0.09,0.66,0.876,0.993,1.02,236
"phi_ya[16]",0.893,0.086,0.677,0.912,0.996,1.14,188
"phi_ya[17]",0.849,0.104,0.612,0.869,0.99,1.11,147
"phi_ya[18]",0.91,0.072,0.728,0.925,0.997,1.1,214
"phi_ya[19]",0.918,0.066,0.753,0.934,0.997,1.01,196
"phi_ya[20]",0.917,0.066,0.75,0.933,0.997,1.01,273
"phi_ya[21]",0.918,0.065,0.76,0.934,0.998,1.07,248
"phi_ya[22]",0.909,0.075,0.717,0.928,0.997,1.45,185
"phi_ya[23]",0.906,0.074,0.71,0.924,0.996,1.16,169
"phi_ya[24]",0.915,0.067,0.743,0.931,0.996,1.12,114
"phi_ya[25]",0.882,0.09,0.663,0.899,0.996,1.08,124
"phi_ya[26]",0.869,0.094,0.651,0.885,0.994,1,81000
"phi_ya[27]",0.869,0.094,0.651,0.886,0.994,1,81000
"phi_ya[28]",0.869,0.094,0.651,0.886,0.994,1,79015
"phi_ya[29]",0.868,0.094,0.649,0.885,0.994,1,81737
"phi_ya[30]",0.869,0.094,0.649,0.885,0.994,1,81781
"psi[1]",0.427,0.163,0.158,0.433,0.696,2.57,13
"psi[2]",0.213,0.162,0.014,0.168,0.646,1.18,26
"psi[3]",0.296,0.221,0.009,0.267,0.886,1.79,16
"psi[4]",0.277,0.213,0.008,0.243,0.734,2.35,20
"psi[5]",0.276,0.152,0.017,0.286,0.543,2.22,39
"psi[6]",0.44,0.226,0.086,0.386,0.938,1.54,15
"psi[7]",0.267,0.235,0.007,0.191,0.822,3.1,39
"psi[8]",0.343,0.22,0.024,0.319,0.814,1.44,32
"psi[9]",0.417,0.252,0.019,0.42,0.889,1.11,31
"psi[10]",0.194,0.169,0.007,0.156,0.728,1.54,22
"psi[11]",0.468,0.233,0.05,0.449,0.935,1.34,19
"psi[12]",0.445,0.244,0.019,0.484,0.91,1.31,31
"psi[13]",0.323,0.243,0.011,0.26,0.905,1.87,30
"psi[14]",0.459,0.323,0.014,0.39,0.978,1.9,30
"psi[15]",0.286,0.245,0.006,0.225,0.864,1.37,88
"psi[16]",0.411,0.269,0.023,0.373,0.945,1.38,54
"psi[17]",0.254,0.213,0.009,0.199,0.805,1.13,71
"psi[18]",0.398,0.282,0.013,0.367,0.948,1.37,53
"psi[19]",0.423,0.272,0.029,0.4,0.965,2.49,45
"psi[20]",0.396,0.286,0.021,0.322,0.942,1.58,45
"psi[21]",0.354,0.274,0.014,0.282,0.951,2.5,47
"psi[22]",0.36,0.301,0.009,0.259,0.956,1.83,52
"psi[23]",0.27,0.248,0.006,0.189,0.862,2.14,43
"psi[24]",0.519,0.286,0.034,0.557,0.975,1.65,22
"psi[25]",0.462,0.286,0.023,0.43,0.975,1.05,87
"psi[26]",0.499,0.289,0.025,0.5,0.975,1,81473
"psi[27]",0.501,0.289,0.026,0.502,0.975,1,81063
"psi[28]",0.499,0.288,0.026,0.499,0.975,1,80627
"psi[29]",0.499,0.289,0.025,0.498,0.975,1,79909
"psi[30]",0.501,0.289,0.025,0.501,0.975,1,81000
"sigma_obs",13.02,6.783,2.535,12.753,24.348,1.01,688
