ID,Capture Date,CaptureLocation,Easting(capt),Northing(capt),Pregnant,PSPB Value,Lactating @ Capture,ID_old,BirthYear
2105,15-Dec-20,Sepulcher Hills,522849,4984632,yes,0.496,,,2010
2106,15-Dec-20,Everts,530537,4979472,no,0.061,,,2004
2107,15-Dec-20,Everts,524848,4981490,no,0.053,,,2015
2108,15-Dec-20,Tower,547186,4970642,yes,0.524,,,2004
2109,15-Dec-20,Oxbow Bench,536092,4980260,yes,0.503,,,2013
2110,15-Dec-20,Oxbow Bench,538358,4976635,no,0.056,,,2004
2111,15-Dec-20,Druid Peak,563500,4970089,yes,0.502,,,2010
2112,16-Dec-20,Junction Butte,548823,4972689,yes,0.501,,,2003
2113,16-Dec-20,Everts,531936,4980374,yes,0.493,,,2001
2114,16-Dec-20,Little Buffalo Creek,546970,4978426,yes,0.507,,,2013
2201,11-Dec-21,North Butte,534816,4979036,yes,0.62,,,2016
2202,11-Dec-21,Rose Creek,562154,4973517,yes,0.599,,,2016
2203,11-Dec-21,Hellroaring Slope,547136,4980835,no,0.076,,,2019
2204,11-Dec-21,Hellroaring Slope,545197,4979900,yes,0.545,,,2003
2205,10-Dec-21,East of Boiling River,524659,4981463,no,0.045,,,2009
2206,11-Dec-21,NE of Mammoth Bone Yard,525165,4980939,yes,0.613,,,2009
2207,10-Dec-21,"Blacktail Drive, East of Oxbow Crk",540079,4976993,no,0.088,,,2003
2208,11-Dec-21,Hill NW of Tower Bridge,546654,4974523,yes,0.586,,,2014
2209,10-Dec-21,Everts,527269,4980841,yes,0.603,,,2006
2210,10-Dec-21,Elk Plaza,522671,4981987,no,0.074,,,2007
2211,10-Dec-21,Elk Plaza,523535,4981711,no,0.051,,,2009
2212,10-Dec-21,Everts,528476,4979509,yes,0.57,,,2006
2213,11-Dec-21,Twin Drainage North side of Everts,525099,4984428,yes,0.611,,,2014
2214,11-Dec-21,"Rescue Crk trail, Northern Rattlesnake",526233,4985587,yes,0.629,,,2009
